GEOID,population_18_up,degree_18_up,attainment_rate
16069,31416,6565,.20896995
16071,3057,406,.13280994
16073,8347,735,.088055588
16075,16663,2124,.12746805
16077,5345,761,.14237605
16079,9989,1164,.11652818
16081,7824,3119,.39864519
16083,59334,10122,.17059359
16085,8243,2384,.28921509
16087,7658,1207,.15761295
17001,51688,11277,.21817443
17003,5130,497,.096881092
17005,13719,2324,.1694001
17007,39689,8013,.20189473
17009,5747,761,.13241692
17011,26266,4621,.17593086
17013,3871,499,.12890726
17015,11831,1920,.16228552
17017,9741,1217,.12493584
17019,168449,59693,.35436839
17021,26596,4110,.15453452
17023,12270,1980,.16136919
17025,10474,1524,.14550315
17027,29601,6207,.20968886
17029,43109,9490,.22013965
17031,4064766,1409157,.34667605
17033,15496,2431,.1568792
17035,8419,1245,.14787979
17037,81726,20988,.25680932
17039,12630,2395,.18962787
17041,14819,2593,.17497806
17043,715152,320318,.44790199
17045,13899,2291,.164832
17047,5042,641,.12713209
17049,25969,5673,.21845277
17051,17425,1905,.10932568
17053,10373,1829,.17632315
17055,30587,4309,.14087684
17057,28580,4757,.16644506
17059,4100,517,.12609756
17061,10431,1185,.11360368
17063,37352,8020,.21471407
17065,6419,991,.15438542
17067,14409,2687,.18648067
17069,3435,347,.10101892
17071,5617,761,.13548158
17073,38417,7930,.20641904
17075,22177,3027,.13649276
17077,48397,14214,.2936959
17079,7358,1260,.17124219
17081,29893,4428,.14812833
17083,17492,3196,.18271209
17085,17767,3972,.22356053
17087,10563,1582,.14976805
17089,387946,115081,.2966418
17091,84355,15088,.17886314
17093,86720,27669,.31906134
17095,41227,6692,.16232081
17097,527822,211192,.40011975
17099,86853,14347,.16518715
17101,13321,1413,.10607312
17103,27731,4592,.16559085
17105,28767,4087,.14207251
17107,23884,4332,.18137665
17109,26352,6685,.25368094
17111,232322,71626,.30830485
17113,135200,50049,.3701849
17115,83572,17384,.20801225
17117,36059,6202,.17199589
17119,207269,50544,.24385701
17121,29576,4172,.14106032
17123,9509,1546,.16258281
17125,11004,1638,.14885496
17127,11358,1300,.11445677
17129,9637,2217,.23005085
17131,12360,2200,.17799352
17133,26013,7406,.28470379
17135,23316,3278,.14059015
17137,27669,5226,.18887563
17139,11020,1887,.17123412
17141,39765,7364,.18518798
17143,141740,39370,.27776209
17145,17353,2000,.11525384
17147,12709,3378,.26579589
17149,12374,1884,.15225473
17151,3661,446,.12182464
17153,4457,455,.1020866
17155,4613,661,.1432907
17157,26506,3256,.12284011
17159,12428,2435,.19592854
17161,113392,24076,.21232538
17163,201247,48857,.24277133
17165,19088,2829,.14820831
17167,153022,48999,.32020885
17169,5866,1011,.17234913
17171,3966,543,.13691376
17173,17184,2578,.15002328
17175,4330,754,.17413396
17177,35866,6169,.17200133
17179,103671,25246,.24352036
17181,13582,2813,.20711236
17183,60271,8075,.1339782
17185,9019,1568,.1738552
17187,13558,2868,.21153562
17189,11164,2100,.18810461
17191,12816,1632,.12734082
17193,11073,1653,.14928204
17195,43990,7532,.17122073
17197,507938,156742,.3085849
17199,52674,11013,.20907848
17201,219221,45696,.20844719
17203,29232,8342,.2853722
18001,24083,3329,.13823029
18003,271705,68211,.251048
18005,61575,18358,.29814047
18007,6514,1003,.15397605
18009,9548,1028,.10766653
18011,46061,20374,.44232649
18013,12229,2970,.24286532
18015,15402,2335,.15160368
18017,29180,3554,.12179575
18019,88545,16333,.18445988
18021,20273,3100,.15291274
18023,23925,3500,.1462905
18025,8253,800,.096934445
18027,23250,3015,.12967741
18029,38033,7739,.20348118
18031,19958,3759,.18834552
18033,31990,5413,.16920912
18035,93971,19228,.20461632
18037,31979,6404,.20025642
18039,146298,24814,.16961271
18041,18222,1887,.10355614
18043,58802,15309,.26034829
18045,12873,1701,.13213703
18047,17324,3168,.18286769
18049,15460,1873,.12115136
18051,25708,3940,.15325968
18053,53546,8216,.15343817
18055,25151,3406,.13542205
18057,222368,119660,.53811699
18059,55306,15422,.27884859
18061,30519,4744,.15544415
18063,117288,38177,.32549793
18065,38534,5972,.15498002
18067,63591,11872,.18669309
18069,28469,4752,.1669184
18071,33045,4878,.14761689
18073,25371,3524,.13889875
18075,15661,1548,.09884426
18077,25608,3980,.15542018
18079,21182,2280,.10763856
18081,111609,32054,.28719905
18083,29762,4172,.14017875
18085,59480,12272,.20632145
18087,25885,2248,.086845666
18089,370543,73250,.19768286
18091,86587,14241,.16447042
18093,35527,5447,.15332001
18095,101034,16250,.16083695
18097,706826,193703,.27404624
18099,34900,6350,.18194842
18101,7889,841,.10660413
18103,28187,3329,.11810409
18105,121369,43058,.35476935
18107,29472,4861,.16493621
18109,53290,7858,.1474573
18111,10972,1224,.11155669
18113,35333,4629,.13101067
18115,4760,642,.13487396
18117,14993,1625,.10838391
18119,16428,1986,.12089116
18121,13401,1643,.12260279
18123,15143,2014,.13299875
18125,9677,1240,.12813888
18127,129403,32925,.25443769
18129,19883,3839,.19307952
18131,9849,1142,.11595086
18133,30190,4058,.13441537
18135,19280,2464,.12780084
18137,21562,3684,.17085613
18139,12913,1754,.1358321
18141,204349,52812,.25844023
18143,18223,2111,.11584262
18145,34087,5631,.16519494
18147,15977,2383,.14915191
18149,17584,1958,.11135123
18151,27252,5018,.18413328
18153,16677,1945,.11662769
18155,7938,623,.078483246
18157,147526,43762,.29663923
18159,12045,2390,.19842258
18161,5549,911,.16417372
18163,142189,34254,.24090472
18165,12162,1468,.12070383
18167,85432,17658,.2066907
18169,25065,4326,.17259127
18171,6453,1177,.18239579
18173,46475,12724,.2737816
18175,21277,2412,.11336184
18177,52121,8538,.16381113
18179,20958,3671,.17515984
18181,18600,2866,.15408602
18183,25677,4767,.18565252
